X,Y,Z,labels,radius,ref,sph_phi,sph_radius,sph_theta,theta,type,urchan
-80.7840137690914,-26.133014404070224,-4.00108454195971,O2,0.5149888888888888,,-2.6979999999999893,85.0,-162.074,162.074,,10
49.87137794892023,68.42333502695395,-7.4895183600262385,F7,0.5280833333333333,,-5.055000000000003,85.0,53.913,-53.913,,11
49.926526811881665,-68.38359029760959,-7.485085070400888,F8,0.5280666666666667,,-5.052000000000004,85.0,-53.867,53.867,,12
5.1764925374825565e-15,84.53853863965728,-8.845082513531118,T7,0.5331833333333333,,-5.973000000000002,85.0,90.0,-90.0,,13
5.1764925374825565e-15,-84.53853863965728,-8.845082513531118,T8,0.5331833333333333,,-5.973000000000002,85.0,-90.0,90.0,,14
-49.871377948920234,68.42333502695394,-7.4895183600262385,P7,0.5280833333333333,,-5.055000000000003,85.0,126.08700000000002,-126.08700000000002,,15
-49.92652681188165,-68.3835902976096,-7.485085070400888,P8,0.5280666666666667,,-5.052000000000004,85.0,-126.13300000000001,126.13300000000001,,16
60.738480948462545,-0.0,59.46290383149189,Fz,0.2533777777777778,,44.391999999999996,85.0,-0.0,0.0,,17
5.204748896376251e-15,-0.0,85.0,Cz,0.0,,90.0,85.0,-0.0,0.0,,18
-60.738480948462545,-7.438318627860716e-15,59.46290383149189,Pz,0.2533777777777778,,44.391999999999996,85.0,-180.0,180.0,,19
-77.63325107746135,-9.507331243941586e-15,-34.613268079507414,Iz,0.6335,,-24.02999999999999,85.0,-180.0,180.0,,20
32.436183898739515,32.351377131228254,71.59806122933911,FC1,0.1811833333333333,,57.38700000000001,85.0,44.925000000000004,-44.925000000000004,,21
32.436183898739515,-32.351377131228254,71.59806122933911,FC2,0.1811833333333333,,57.38700000000001,85.0,-44.925000000000004,44.925000000000004,,22
-32.436183898739515,32.351377131228254,71.59806122933911,CP1,0.1811833333333333,,57.38700000000001,85.0,135.075,-135.075,,23
-32.436183898739515,-32.351377131228254,71.59806122933911,CP2,0.1811833333333333,,57.38700000000001,85.0,-135.075,135.075,,24
28.762823435357603,76.24736450995313,24.166906986885675,FC5,0.40823333333333334,,16.518000000000004,85.0,69.332,-69.332,,25
